[KONDISI] | [RISIKO] | [PENJELASAN] | [SOLUSI]
Pekerja tidak menggunakan helm di area konstruksi | TINGGI | Tidak adanya perlindungan kepala meningkatkan risiko cedera serius akibat benda jatuh atau benturan keras | Hentikan pekerjaan sementara, wajibkan penggunaan helm standar SNI/ANSI, dan lakukan inspeksi APD sebelum masuk area kerja.
Pekerja menggunakan helm tetapi tidak terpasang dengan benar | SEDANG | Helm dapat lepas saat benturan sehingga tidak melindungi kepala | Pastikan helm dikunci dengan benar, lakukan pengecekan oleh supervisor sebelum kerja dimulai.
Area kerja licin akibat hujan | SEDANG | Permukaan licin meningkatkan risiko terpeleset | Bersihkan genangan, pasang rambu "lantai licin", dan wajibkan penggunaan sepatu anti-slip.
Pekerja bekerja di ketinggian tanpa safety harness | TINGGI | Risiko jatuh fatal dari ketinggian | Hentikan pekerjaan, gunakan full body harness + lifeline, dan pastikan anchor point sesuai standar.
Material berserakan di area kerja | SEDANG | Risiko tersandung dan jatuh meningkat | Terapkan housekeeping (5R/5S), bersihkan area kerja secara berkala.
Tidak menggunakan sepatu safety | TINGGI | Risiko cedera kaki akibat benda berat atau tajam | Wajibkan penggunaan sepatu safety dan lakukan pemeriksaan APD di pintu masuk area kerja.
Pekerja tidak menggunakan sarung tangan saat menangani material | SEDANG | Risiko luka pada tangan meningkat | Gunakan sarung tangan sesuai jenis pekerjaan (cut-resistant / heat-resistant).
Pencahayaan area kerja kurang memadai | SEDANG | Visibilitas rendah meningkatkan risiko kecelakaan | Tambahkan lampu kerja sesuai standar lux (≥200 lux untuk pekerjaan umum).
Penggunaan alat berat tanpa pelatihan | TINGGI | Risiko kesalahan operasional tinggi | Hanya operator bersertifikat yang boleh mengoperasikan alat, lakukan pelatihan ulang.
Pekerja mengalami kelelahan saat bekerja | SEDANG | Konsentrasi menurun | Terapkan jadwal kerja-istirahat (work-rest cycle) dan batasi jam kerja maksimal.
Tidak terdapat rambu keselamatan | SEDANG | Bahaya tidak teridentifikasi | Pasang rambu keselamatan sesuai standar K3 di area berisiko.
Area kerja tidak diawasi supervisor | SEDANG | Pelanggaran prosedur meningkat | Tugaskan supervisor khusus untuk pengawasan lapangan.
Tidak menggunakan pelindung mata saat bekerja | SEDANG | Risiko cedera mata akibat partikel | Gunakan safety goggles atau face shield sesuai pekerjaan.
Ventilasi udara tidak memadai | TINGGI | Risiko paparan gas berbahaya | Pasang sistem ventilasi atau exhaust fan, lakukan monitoring gas jika perlu.
Penggunaan alat yang rusak | TINGGI | Risiko kegagalan alat | Larang penggunaan alat rusak dan lakukan perbaikan atau penggantian segera.
Pekerja tidak mengikuti SOP | TINGGI | Risiko kecelakaan meningkat | Lakukan briefing ulang SOP dan beri sanksi untuk pelanggaran.
Bekerja saat hujan deras | SEDANG | Lingkungan kerja tidak aman | Evaluasi pekerjaan dan hentikan sementara jika risiko tinggi.
Area kerja tidak tertata | SEDANG | Risiko tersandung meningkat | Terapkan sistem penataan alat dan material secara terstruktur.
Kabel listrik terbuka | TINGGI | Risiko sengatan listrik | Isolasi kabel, gunakan pelindung kabel, dan hindari area basah.
Tidak ada briefing keselamatan sebelum kerja | SEDANG | Bahaya tidak dikenali sejak awal | Lakukan toolbox meeting sebelum pekerjaan dimulai.
Pekerja tidak memakai rompi reflektif | RENDAH | Visibilitas rendah | Wajibkan penggunaan rompi reflektif di area lalu lintas.
Alat berat beroperasi tanpa tanda peringatan | TINGGI | Risiko tertabrak | Pasang alarm, sirine, dan rambu area alat berat.
Pekerja bekerja terlalu lama tanpa istirahat | SEDANG | Kelelahan meningkat | Terapkan sistem shift dan waktu istirahat terjadwal.
Tidak menggunakan masker di area berdebu | SEDANG | Risiko gangguan pernapasan | Gunakan masker respirator (N95 atau setara).
Tangga tidak stabil | TINGGI | Risiko jatuh | Pastikan tangga dikunci dan berada di permukaan datar.
Mengangkat beban berat tanpa teknik yang benar | SEDANG | Risiko cedera punggung | Gunakan teknik angkat yang benar atau alat bantu (trolley).
Tidak menggunakan sabuk pengaman di ketinggian | TINGGI | Risiko jatuh fatal | Gunakan safety harness dengan lifeline.
Paparan bahan kimia tanpa pelindung | TINGGI | Risiko iritasi atau keracunan | Gunakan APD lengkap dan ikuti MSDS bahan kimia.
Tidak ada jalur evakuasi | TINGGI | Evakuasi terhambat | Sediakan jalur evakuasi yang jelas dan bebas hambatan.
Kurangnya komunikasi antar pekerja | SEDANG | Koordinasi buruk | Gunakan sistem komunikasi (HT / briefing rutin).
Kelelahan akibat shift panjang | SEDANG | Penurunan fokus | Batasi jam kerja maksimal dan rotasi pekerja.
Penggunaan alat tanpa inspeksi | SEDANG | Kerusakan tidak terdeteksi | Lakukan pre-use inspection sebelum alat digunakan.
Lingkungan kerja panas ekstrem | SEDANG | Risiko heat stress | Sediakan air minum dan waktu istirahat di area teduh.
